	#	English	#	Spanish	#	Arabic	#	Catalan	#	German	#	French	#	Italian	#	Polish	#	Portuguese	#	Russian	#	Turkish	#	Chinese	#
	Comments		Char count		Char count		Char count		Char count		Char count		Char count		Char count		Char count		Char count		Char count		Char count		Char count
Generic																									
ls_generic_accept		Ok	2	Ok	2	حسنا	4	Ok	2	Ok	2	Ok	2	Ok	2	Ok	2	Ok	2	ОК	2	Ok	2	好	1
ls_generic_cancel		Cancel	6	Cancelar	8	إلغاء	5	Cancel·lar	10	Stornieren	10	Annuler	7	Annulla	7	Anuluj	6	Cancelar	8	Отмена	6	İptal	5	取消	2
ls_generic_quit		Quit	4	Salir	5	استقال	6	Sortir	6	Verlassen	9	Quitter	7	Smettere	8	Porzucić	8	Desistir	8	Уволиться	9	çıkmak	6	放弃	2
ls_generic_yes		Yes	3	Si	2	نعم	3	Si	2	Ja	2	Oui	3	sì	2	tak	3	sim	3	да	2	Evet	4	是	1
ls_generic_no		No	2	No	2	لا	2	No	2	Keine	5	Pas	3	No	2	Nie ma	6	Não	3	нет	3	Hayır	5	无	1
ls_generic_error		Error	5	Error	5	خطأ	3	Error	5	Fehler	6	Erreur	6	errore	6	błąd	4	erro	4	ошибка	6	hata	4	错误	2
ls_generic_app_name		Scena	5	Scena	5	Scena	5	Scena	5	Scena	5	Scena	5	Scena	5	Scena	5	Scena	5	Scena	5	Scena	5	Scena	5
ls_generic_exit_app_warning		Are you sure you want to exit?	30	Seguro que quiere salir de la aplicación?	41	هل أنت متأكد أنك تريد الخروج من التطبيق ؟	41	Segur Que Vols sortir de l'Aplicació?	37	Sind Sie sicher, um die Anwendung zu beenden?	45	Êtes-vous sûr de vouloir quitter l'application?	47	Sei sicuro di voler chiudere l'applicazione?	44	Czy na pewno chcesz zamknąć aplikację?	38	Tem certeza de que deseja sair do aplicativo?	45	Вы уверены, что хотите выйти из приложения?	43	Eğer uygulamayı çıkmak istediğinizden emin misiniz?	51	你确定要退出应用程序?	11
